PPID,Type,Familiarity,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190716FKEE1,Familiarity,VeryUnfamiliar,61,421,901,1081,1141,1201,1321,,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,Unfamiliar,1,121,241,301,541,1021,1261,1381,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,Familiar,361,,,,,,,,,,,,,,,,,,,,,,,
190716FKEE1,Familiarity,VeryFamiliar,181,481,601,661,721,781,841,961,,,,,,,,,,,,,,,,
190716FKEE3,Familiarity,,1,61,121,181,241,301,361,421,481,541,601,661,721,781,841,901,961,1021,1081,1141,1201,1261,1321,1381
190717JSCH1,Familiarity,VeryUnfamiliar,1,61,121,241,301,361,421,481,541,601,661,721,781,961,1021,1141,1201,1321,,,,,,
190717JSCH1,Familiarity,Unfamiliar,901,1261,,,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Familiarity,VeryFamiliar,181,841,1081,1381,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,VeryUnfamiliar,181,241,421,601,661,781,841,901,961,1021,1081,1141,1201,1321,1381,,,,,,,,,
190717JSCH3,Familiarity,Unfamiliar,121,,,,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,Familiar,61,,,,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Familiarity,VeryFamiliar,1,301,361,481,541,721,1261,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,VeryUnfamiliar,181,241,361,,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,Unfamiliar,1,301,481,541,721,781,1201,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,Familiar,421,661,841,961,1141,1321,,,,,,,,,,,,,,,,,,
190725LGEN1,Familiarity,VeryFamiliar,61,121,601,901,1021,1081,1261,1381,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,VeryUnfamiliar,241,541,601,781,841,901,1381,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,Unfamiliar,181,361,421,1141,1261,1321,,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,Familiar,61,481,1021,,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Familiarity,VeryFamiliar,1,121,301,661,721,961,1081,1201,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,VeryUnfamiliar,1021,1081,1201,1261,,,,,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,Unfamiliar,61,121,181,241,301,361,481,541,601,661,901,961,1141,1381,,,,,,,,,,
190904GHER1,Familiarity,Familiar,1,721,781,841,1321,,,,,,,,,,,,,,,,,,,
190904GHER1,Familiarity,VeryFamiliar,421,,,,,,,,,,,,,,,,,,,,,,,
190904GHER3,Familiarity,VeryUnfamiliar,1,61,241,301,421,541,661,721,781,841,961,1021,1141,1201,1261,,,,,,,,,
190904GHER3,Familiarity,Familiar,361,,,,,,,,,,,,,,,,,,,,,,,
190904GHER3,Familiarity,VeryFamiliar,121,181,481,601,901,1081,1321,1381,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,VeryUnfamiliar,61,121,241,301,361,481,541,721,781,841,901,961,1081,1201,1321,,,,,,,,,
191011LDIR1,Familiarity,Unfamiliar,181,,,,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,Familiar,601,,,,,,,,,,,,,,,,,,,,,,,
191011LDIR1,Familiarity,VeryFamiliar,1,421,661,1021,1141,1261,1381,,,,,,,,,,,,,,,,,
191011LDIR3,Familiarity,VeryUnfamiliar,1,181,241,301,421,481,541,601,661,781,841,901,1081,1141,1381,,,,,,,,,
191011LDIR3,Familiarity,Familiar,1021,1261,,,,,,,,,,,,,,,,,,,,,,
191011LDIR3,Familiarity,VeryFamiliar,61,121,361,721,961,1201,1321,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,VeryUnfamiliar,1,61,121,181,241,301,361,961,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,Unfamiliar,1081,1261,1381,,,,,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,Familiar,481,541,601,721,901,1021,1201,,,,,,,,,,,,,,,,,
191113JPRE1,Familiarity,VeryFamiliar,421,661,781,841,1141,1321,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,VeryUnfamiliar,1,61,121,841,901,1141,1261,1381,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,Unfamiliar,541,601,721,781,1201,,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,Familiar,301,421,661,1021,1321,,,,,,,,,,,,,,,,,,,
191113JPRE3,Familiarity,VeryFamiliar,181,241,361,481,961,1081,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,VeryUnfamiliar,1,181,301,481,601,1321,1381,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,Unfamiliar,61,361,421,541,781,,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,Familiar,661,721,1021,1081,1201,1261,,,,,,,,,,,,,,,,,,
191114CWEI1,Familiarity,VeryFamiliar,121,241,841,901,961,1141,,,,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,VeryUnfamiliar,61,421,481,601,841,1021,1201,1261,1321,,,,,,,,,,,,,,,
191114CWEI3,Familiarity,Unfamiliar,121,541,,,,,,,,,,,,,,,,,,,,,,
