PPID,Familiarity,Stim,1,2,3,4,5
190716FKEE1,VeryFamiliar,fw,481,781,,,
190717JSCH1,VeryFamiliar,fw,1081,,,,
190717JSCH3,VeryFamiliar,fw,361,,,,
190725LGEN1,VeryFamiliar,fw,1021,1381,,,
190725LGEN3,VeryFamiliar,fw,661,721,,,
190904GHER1,VeryFamiliar,fw,421,,,,
190904GHER3,VeryFamiliar,fw,1081,1381,,,
191011LDIR1,VeryFamiliar,fw,1141,,,,
191011LDIR3,VeryFamiliar,fw,721,,,,
191113JPRE1,VeryFamiliar,fw,661,841,1141,,
191113JPRE3,VeryFamiliar,fw,241,361,961,,
191114CWEI1,VeryFamiliar,fw,841,,,,
191204MBLO1,VeryFamiliar,fw,241,1081,,,
191204MBLO3,VeryFamiliar,fw,1,1381,,,
200115EROS1,VeryFamiliar,fw,61,1141,,,
200115EROS3,VeryFamiliar,fw,241,301,,,
200116TCIE1,VeryFamiliar,fw,481,541,,,
200116TCIE3,VeryFamiliar,fw,961,1381,,,
200123GCAS1,VeryFamiliar,fw,61,421,721,1261,
200127DFAI1,VeryFamiliar,fw,1321,1381,,,
200127DFAI3,VeryFamiliar,fw,301,661,841,,
200211DCAT1,VeryFamiliar,fw,901,1081,1381,,
200211DCAT3,VeryFamiliar,fw,61,181,661,721,961
200213LOLE1,VeryFamiliar,fw,61,,,,
