PPID,Type,Liking,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
190716FKEE1,Liking,Hate,421,1141,1321,,,,,,,,,,,,,,,
190716FKEE1,Liking,Neutral,1,61,121,301,361,541,901,1081,1201,1381,,,,,,,,
190716FKEE1,Liking,Like,241,661,781,841,1021,1261,,,,,,,,,,,,
190716FKEE1,Liking,Love,181,481,601,721,961,,,,,,,,,,,,,
190716FKEE3,Liking,Hate,1,121,181,241,301,361,481,541,601,661,721,841,901,1021,1201,1261,,
190716FKEE3,Liking,Like,961,,,,,,,,,,,,,,,,,
190716FKEE3,Liking,Love,61,781,1081,1141,1321,1381,,,,,,,,,,,,
190716FKEE3,Liking,,421,,,,,,,,,,,,,,,,,
190717JSCH1,Liking,Hate,1,61,121,481,541,721,781,961,1141,1201,,,,,,,,
190717JSCH1,Liking,Neutral,241,301,361,421,601,661,901,1021,1321,,,,,,,,,
190717JSCH1,Liking,Like,841,1261,,,,,,,,,,,,,,,,
190717JSCH1,Liking,Love,181,1081,1381,,,,,,,,,,,,,,,
190717JSCH3,Liking,Hate,181,241,421,781,841,961,1141,1201,1381,,,,,,,,,
190717JSCH3,Liking,Neutral,601,661,901,1081,1321,,,,,,,,,,,,,
190717JSCH3,Liking,Like,61,121,1021,,,,,,,,,,,,,,,
190717JSCH3,Liking,Love,1,301,361,481,541,721,1261,,,,,,,,,,,
190725LGEN1,Liking,Neutral,181,,,,,,,,,,,,,,,,,
190725LGEN1,Liking,Like,241,301,361,481,541,661,721,781,841,1201,,,,,,,,
190725LGEN1,Liking,Love,1,61,121,421,601,901,961,1021,1081,1141,1261,1321,1381,,,,,
190725LGEN3,Liking,Hate,541,,,,,,,,,,,,,,,,,
190725LGEN3,Liking,Neutral,601,781,841,901,,,,,,,,,,,,,,
190725LGEN3,Liking,Like,61,181,241,361,421,1261,1321,1381,,,,,,,,,,
190725LGEN3,Liking,Love,1,121,301,481,661,721,961,1021,1081,1201,,,,,,,,
190725LGEN3,Liking,,1141,,,,,,,,,,,,,,,,,
190904GHER1,Liking,Hate,241,541,661,901,1081,1141,1201,1381,,,,,,,,,,
190904GHER1,Liking,Neutral,61,301,361,,,,,,,,,,,,,,,
190904GHER1,Liking,Like,1,721,841,1321,,,,,,,,,,,,,,
190904GHER1,Liking,Love,121,181,421,481,601,781,961,1021,1261,,,,,,,,,
190904GHER3,Liking,Hate,61,301,421,661,841,1141,,,,,,,,,,,,
190904GHER3,Liking,Neutral,1,241,541,721,781,1021,1201,,,,,,,,,,,
190904GHER3,Liking,Like,121,361,961,1081,1261,,,,,,,,,,,,,
190904GHER3,Liking,Love,181,481,601,901,1321,1381,,,,,,,,,,,,
191011LDIR1,Liking,Hate,121,241,481,721,961,1081,,,,,,,,,,,,
191011LDIR1,Liking,Neutral,61,301,361,601,1201,,,,,,,,,,,,,
191011LDIR1,Liking,Like,181,541,781,901,1321,,,,,,,,,,,,,
191011LDIR1,Liking,Love,1,421,661,841,1021,1141,1261,1381,,,,,,,,,,
191011LDIR3,Liking,Hate,1,181,421,541,781,841,1081,1141,,,,,,,,,,
191011LDIR3,Liking,Neutral,241,,,,,,,,,,,,,,,,,
191011LDIR3,Liking,Like,301,481,601,661,901,1021,1261,1381,,,,,,,,,,
191011LDIR3,Liking,Love,61,121,361,721,961,1201,1321,,,,,,,,,,,
191113JPRE1,Liking,Hate,1,61,241,361,1261,,,,,,,,,,,,,
191113JPRE1,Liking,Neutral,121,181,301,961,,,,,,,,,,,,,,
191113JPRE1,Liking,Like,421,481,601,721,1021,1081,1381,,,,,,,,,,,
191113JPRE1,Liking,Love,541,661,781,841,901,1141,1201,1321,,,,,,,,,,
191113JPRE3,Liking,Hate,1,61,121,541,841,901,1141,1261,1381,,,,,,,,,
191113JPRE3,Liking,Neutral,421,601,721,781,,,,,,,,,,,,,,
191113JPRE3,Liking,Like,301,361,661,1021,1201,,,,,,,,,,,,,
191113JPRE3,Liking,Love,181,241,481,961,1081,1321,,,,,,,,,,,,
191114CWEI1,Liking,Hate,1,301,481,1381,,,,,,,,,,,,,,
191114CWEI1,Liking,Neutral,181,601,781,1321,,,,,,,,,,,,,,
191114CWEI1,Liking,Like,61,361,421,541,721,1021,1081,,,,,,,,,,,
191114CWEI1,Liking,Love,121,241,661,841,901,961,1141,1201,1261,,,,,,,,,
191114CWEI3,Liking,Hate,421,481,841,1021,1261,,,,,,,,,,,,,
191114CWEI3,Liking,Neutral,61,121,601,1201,1321,,,,,,,,,,,,,
191114CWEI3,Liking,Like,181,361,541,661,721,961,1081,1381,,,,,,,,,,
191114CWEI3,Liking,Love,1,241,301,781,901,1141,,,,,,,,,,,,
191204MBLO1,Liking,Hate,721,,,,,,,,,,,,,,,,,
191204MBLO1,Liking,Neutral,661,841,901,1201,1261,,,,,,,,,,,,,
191204MBLO1,Liking,Like,61,121,301,361,421,541,601,961,1081,1141,1321,,,,,,,
191204MBLO1,Liking,Love,1,181,241,481,781,1021,1381,,,,,,,,,,,
191204MBLO3,Liking,Hate,781,,,,,,,,,,,,,,,,,
191204MBLO3,Liking,Neutral,61,121,181,241,601,841,901,961,1201,,,,,,,,,
191204MBLO3,Liking,Like,1,301,481,541,1021,1081,1141,1321,,,,,,,,,,
191204MBLO3,Liking,Love,361,421,661,721,1261,1381,,,,,,,,,,,,
200115EROS1,Liking,Neutral,1,121,181,301,481,541,721,781,901,961,1321,,,,,,,
200115EROS1,Liking,Like,61,241,421,601,841,1021,,,,,,,,,,,,
200115EROS1,Liking,Love,361,661,1081,1141,1201,1261,1381,,,,,,,,,,,
200115EROS3,Liking,Hate,61,721,,,,,,,,,,,,,,,,
200115EROS3,Liking,Neutral,1,121,421,481,541,601,661,781,841,961,1021,1141,1261,,,,,
200115EROS3,Liking,Like,241,301,1201,,,,,,,,,,,,,,,
200115EROS3,Liking,Love,181,361,901,1081,1321,1381,,,,,,,,,,,,
200116TCIE1,Liking,Neutral,1,61,121,181,301,361,541,721,781,961,1141,1381,,,,,,
200116TCIE1,Liking,Like,241,481,601,841,1021,1081,1201,1261,1321,,,,,,,,,
200116TCIE1,Liking,Love,421,661,901,,,,,,,,,,,,,,,
200116TCIE3,Liking,Neutral,1,121,241,301,421,481,601,841,1021,1081,1261,,,,,,,
200116TCIE3,Liking,Like,61,361,541,661,721,781,961,1381,,,,,,,,,,
200116TCIE3,Liking,Love,181,901,1141,1201,1321,,,,,,,,,,,,,
200123GCAS1,Liking,Hate,241,361,541,841,901,1081,1321,,,,,,,,,,,
200123GCAS1,Liking,Neutral,1201,,,,,,,,,,,,,,,,,
200123GCAS1,Liking,Like,661,961,1021,1141,1381,,,,,,,,,,,,,
200123GCAS1,Liking,Love,1,61,121,181,301,421,481,601,721,781,1261,,,,,,,
200127DFAI1,Liking,Hate,781,,,,,,,,,,,,,,,,,
200127DFAI1,Liking,Neutral,1201,1261,,,,,,,,,,,,,,,,
200127DFAI1,Liking,Like,181,241,541,841,901,1021,,,,,,,,,,,,
200127DFAI1,Liking,Love,1,61,121,301,361,421,481,601,661,721,961,1081,1141,1321,1381,,,
200127DFAI3,Liking,Hate,1021,1321,1381,,,,,,,,,,,,,,,
200127DFAI3,Liking,Neutral,1,61,481,541,1201,,,,,,,,,,,,,
200127DFAI3,Liking,Like,181,241,361,421,601,661,841,961,1081,,,,,,,,,
200127DFAI3,Liking,Love,121,301,721,781,901,1141,1261,,,,,,,,,,,
200204JKAY1,Liking,Hate,1,181,301,1081,,,,,,,,,,,,,,
200204JKAY1,Liking,Neutral,241,,,,,,,,,,,,,,,,,
200204JKAY1,Liking,Like,121,361,421,661,781,1201,1321,,,,,,,,,,,
200204JKAY1,Liking,Love,61,481,541,601,721,901,961,1021,1141,1261,1381,,,,,,,
200204JKAY1,Liking,,841,,,,,,,,,,,,,,,,,
200211DCAT1,Liking,Neutral,1,481,601,,,,,,,,,,,,,,,
200211DCAT1,Liking,Like,121,181,361,421,541,721,1141,1261,1321,,,,,,,,,
200211DCAT1,Liking,Love,61,241,301,661,781,841,901,961,1021,1081,1201,1381,,,,,,
200211DCAT3,Liking,Hate,1261,,,,,,,,,,,,,,,,,
200211DCAT3,Liking,Neutral,1141,1201,1321,,,,,,,,,,,,,,,
200211DCAT3,Liking,Like,1,121,241,601,841,901,1081,1381,,,,,,,,,,
200211DCAT3,Liking,Love,61,181,301,361,421,481,541,661,721,781,961,1021,,,,,,
200213LOLE1,Liking,Hate,1,181,541,601,1081,1381,,,,,,,,,,,,
200213LOLE1,Liking,Neutral,121,301,361,421,901,1021,1141,1261,,,,,,,,,,
200213LOLE1,Liking,Like,661,781,961,1321,,,,,,,,,,,,,,
200213LOLE1,Liking,Love,61,241,481,721,841,1201,,,,,,,,,,,,
201210SCAE1,Liking,Hate,1,61,301,361,481,601,961,1321,1381,,,,,,,,,
201210SCAE1,Liking,Neutral,541,1021,,,,,,,,,,,,,,,,
201210SCAE1,Liking,Like,241,421,661,721,901,1141,,,,,,,,,,,,
201210SCAE1,Liking,Love,121,181,781,841,1081,1201,1261,,,,,,,,,,,
201210SCAE3,Liking,Hate,61,121,301,601,781,841,1081,1201,,,,,,,,,,
201210SCAE3,Liking,Neutral,481,541,721,1021,,,,,,,,,,,,,,
201210SCAE3,Liking,Like,1,661,901,961,1141,,,,,,,,,,,,,
201210SCAE3,Liking,Love,181,241,361,421,1261,1321,1381,,,,,,,,,,,
201216EHER1,Liking,Hate,1,301,541,841,,,,,,,,,,,,,,
201216EHER1,Liking,Neutral,61,121,241,361,421,481,601,961,1081,1201,1321,1381,,,,,,
201216EHER1,Liking,Like,781,1021,1141,,,,,,,,,,,,,,,
201216EHER1,Liking,Love,181,661,721,901,1261,,,,,,,,,,,,,
201216EHER3,Liking,Hate,121,181,661,841,961,1021,1381,,,,,,,,,,,
201216EHER3,Liking,Neutral,61,361,421,481,601,1081,1141,1261,,,,,,,,,,
201216EHER3,Liking,Like,241,901,1201,1321,,,,,,,,,,,,,,
201216EHER3,Liking,Love,1,301,541,721,781,,,,,,,,,,,,,
210202LJAC1,Liking,Hate,601,661,841,1381,,,,,,,,,,,,,,
210202LJAC1,Liking,Neutral,61,301,901,1321,,,,,,,,,,,,,,
210202LJAC1,Liking,Like,1,181,241,421,481,541,721,961,1141,,,,,,,,,
210202LJAC1,Liking,Love,121,361,781,1021,1081,1201,1261,,,,,,,,,,,
210202LJAC3,Liking,Hate,541,721,781,1141,,,,,,,,,,,,,,
210202LJAC3,Liking,Neutral,1,421,601,961,1201,1261,1321,,,,,,,,,,,
210202LJAC3,Liking,Like,181,241,301,361,481,901,1021,,,,,,,,,,,
210202LJAC3,Liking,Love,61,121,661,841,1081,1381,,,,,,,,,,,,
210223ASHA1,Liking,Hate,1261,,,,,,,,,,,,,,,,,
210223ASHA1,Liking,Neutral,1,61,541,841,901,961,1081,1141,,,,,,,,,,
210223ASHA1,Liking,Like,121,301,481,601,661,781,1021,1201,1381,,,,,,,,,
210223ASHA1,Liking,Love,181,241,361,421,721,1321,,,,,,,,,,,,
210223ASHA3,Liking,Hate,361,,,,,,,,,,,,,,,,,
210223ASHA3,Liking,Neutral,1,121,301,421,541,721,781,901,1381,,,,,,,,,
210223ASHA3,Liking,Like,181,481,601,661,841,961,1141,1201,1321,,,,,,,,,
210223ASHA3,Liking,Love,61,241,1021,1081,1261,,,,,,,,,,,,,
210526GSHA1,Liking,Hate,781,841,1021,1321,,,,,,,,,,,,,,
210526GSHA1,Liking,Neutral,121,181,301,361,481,541,661,901,961,1381,,,,,,,,
210526GSHA1,Liking,Like,61,721,1081,1261,,,,,,,,,,,,,,
210526GSHA1,Liking,Love,1,241,421,601,1141,1201,,,,,,,,,,,,
210526GSHA3,Liking,Hate,61,301,361,601,1201,1321,1381,,,,,,,,,,,
210526GSHA3,Liking,Neutral,121,181,421,481,661,721,1081,1141,,,,,,,,,,
210526GSHA3,Liking,Like,241,841,901,1021,,,,,,,,,,,,,,
210526GSHA3,Liking,Love,1,541,781,961,1261,,,,,,,,,,,,,
210616AEHR1,Liking,Hate,541,601,661,1381,,,,,,,,,,,,,,
210616AEHR1,Liking,Neutral,181,301,721,841,961,1021,1261,,,,,,,,,,,
210616AEHR1,Liking,Like,1,61,241,421,481,781,1081,1201,,,,,,,,,,
210616AEHR1,Liking,Love,121,361,901,1321,,,,,,,,,,,,,,
210616AEHR1,Liking,,1141,,,,,,,,,,,,,,,,,
210715ELAR1,Liking,Hate,361,601,661,721,1081,1321,,,,,,,,,,,,
210715ELAR1,Liking,Neutral,1,61,841,901,1201,1261,,,,,,,,,,,,
210715ELAR1,Liking,Like,181,421,481,781,1141,,,,,,,,,,,,,
210715ELAR1,Liking,Love,121,241,301,541,961,1021,1381,,,,,,,,,,,
210719BFOR1,Liking,Hate,61,121,181,241,301,421,1321,1381,,,,,,,,,,
210719BFOR1,Liking,Neutral,541,841,1201,,,,,,,,,,,,,,,
210719BFOR1,Liking,Like,361,721,781,901,1021,1141,,,,,,,,,,,,
210719BFOR1,Liking,Love,1,481,601,661,961,1081,1261,,,,,,,,,,,
210719BFOR3,Liking,Hate,61,421,481,901,,,,,,,,,,,,,,
210719BFOR3,Liking,Neutral,181,301,361,541,601,661,781,1201,1381,,,,,,,,,
210719BFOR3,Liking,Like,241,841,961,1321,,,,,,,,,,,,,,
210719BFOR3,Liking,Love,1,121,721,1021,1081,1141,1261,,,,,,,,,,,
211028AZHA1,Liking,Hate,541,1081,1141,1261,,,,,,,,,,,,,,
211028AZHA1,Liking,Neutral,121,301,421,481,661,721,841,901,,,,,,,,,,
211028AZHA1,Liking,Like,61,241,361,781,961,,,,,,,,,,,,,
211028AZHA1,Liking,Love,1,181,601,1021,1201,1321,1381,,,,,,,,,,,
211028SLEE1,Liking,Hate,121,361,541,781,841,901,961,1141,,,,,,,,,,
211028SLEE1,Liking,Neutral,241,1381,,,,,,,,,,,,,,,,
211028SLEE1,Liking,Like,1,181,421,601,721,1201,1321,,,,,,,,,,,
211028SLEE1,Liking,Love,61,301,481,661,1021,1081,1261,,,,,,,,,,,
211103LGAR1,Liking,Hate,361,601,781,841,961,1021,1321,,,,,,,,,,,
211103LGAR1,Liking,Neutral,181,241,421,481,1261,,,,,,,,,,,,,
211103LGAR1,Liking,Like,661,1081,1141,1201,1381,,,,,,,,,,,,,
211103LGAR1,Liking,Love,1,61,301,541,721,901,,,,,,,,,,,,
211103LGAR1,Liking,,121,,,,,,,,,,,,,,,,,
211104CZAL1,Liking,Neutral,61,181,241,301,421,721,781,841,1021,1141,,,,,,,,
211104CZAL1,Liking,Like,121,361,541,901,1261,1321,1381,,,,,,,,,,,
211104CZAL1,Liking,Love,1,481,601,661,961,1081,1201,,,,,,,,,,,
211118APOP1,Liking,Hate,241,481,961,1321,,,,,,,,,,,,,,
211118APOP1,Liking,Neutral,121,181,301,421,661,901,1021,1081,1381,,,,,,,,,
211118APOP1,Liking,Like,541,721,781,1141,1201,,,,,,,,,,,,,
211118APOP1,Liking,Love,1,61,361,601,841,1261,,,,,,,,,,,,
211118TSTA1,Liking,Hate,181,541,721,901,961,1201,1381,,,,,,,,,,,
211118TSTA1,Liking,Neutral,241,661,781,1021,,,,,,,,,,,,,,
211118TSTA1,Liking,Like,301,361,481,601,1081,1141,,,,,,,,,,,,
211118TSTA1,Liking,Love,1,61,121,421,841,1261,1321,,,,,,,,,,,
211122LWIE1,Liking,Hate,121,361,,,,,,,,,,,,,,,,
211122LWIE1,Liking,Neutral,1,181,241,301,421,601,841,961,1321,,,,,,,,,
211122LWIE1,Liking,Like,61,481,661,781,901,1021,1141,1201,,,,,,,,,,
211122LWIE1,Liking,Love,541,721,1081,1261,1381,,,,,,,,,,,,,
211123GWAI1,Liking,Hate,481,541,781,841,1081,,,,,,,,,,,,,
211123GWAI1,Liking,Neutral,241,301,661,901,1021,1381,,,,,,,,,,,,
211123GWAI1,Liking,Like,361,601,721,961,1141,1261,,,,,,,,,,,,
211123GWAI1,Liking,Love,1,61,121,181,421,1201,1321,,,,,,,,,,,
211129SCAM1,Liking,Hate,181,1201,,,,,,,,,,,,,,,,
211129SCAM1,Liking,Neutral,61,241,361,481,961,1321,,,,,,,,,,,,
211129SCAM1,Liking,Like,1,121,301,421,841,1021,1081,1141,,,,,,,,,,
