PPID,Familiarity,Stim,1,2,3,4,5,6
190716FKEE1,VeryFamiliar,ss,181,601,661,721,841,961
190717JSCH1,VeryFamiliar,ss,181,841,1381,,,
190717JSCH3,VeryFamiliar,ss,1,301,481,541,721,1261
190725LGEN1,VeryFamiliar,ss,61,121,601,901,1081,1261
190725LGEN3,VeryFamiliar,ss,1,121,301,961,1081,1201
190904GHER3,VeryFamiliar,ss,121,181,481,601,901,1321
191011LDIR1,VeryFamiliar,ss,1,421,661,1021,1261,1381
191011LDIR3,VeryFamiliar,ss,61,121,361,961,1201,1321
191113JPRE1,VeryFamiliar,ss,421,781,1321,,,
191113JPRE3,VeryFamiliar,ss,181,481,1081,,,
191114CWEI1,VeryFamiliar,ss,121,241,901,961,1141,
191114CWEI3,VeryFamiliar,ss,1,241,301,781,901,1141
191204MBLO1,VeryFamiliar,ss,1,181,481,781,1021,1381
191204MBLO3,VeryFamiliar,ss,361,421,661,721,1261,1321
200115EROS1,VeryFamiliar,ss,361,661,1081,1201,1261,1381
200115EROS3,VeryFamiliar,ss,181,361,901,1081,1321,1381
200116TCIE1,VeryFamiliar,ss,241,421,661,901,1081,1261
200116TCIE3,VeryFamiliar,ss,181,721,901,1141,1201,1321
200123GCAS1,VeryFamiliar,ss,1,121,181,481,601,781
200127DFAI1,VeryFamiliar,ss,1,481,721,961,1081,1141
200127DFAI3,VeryFamiliar,ss,121,721,781,901,1141,1261
200211DCAT1,VeryFamiliar,ss,61,241,301,661,961,1201
200211DCAT3,VeryFamiliar,ss,301,361,421,481,541,781
200213LOLE1,VeryFamiliar,ss,241,481,721,841,1201,
