PPID,Type,Stim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
190716FKEE1,Stimulus,ss,181,601,661,721,841,961,,,,,,,,,,,,,,,,,,
190716FKEE1,Stimulus,fw,121,241,301,361,481,781,901,1021,1261,1321,,,,,,,,,,,,,,
190716FKEE1,Stimulus,bp,61,1081,1141,1201,,,,,,,,,,,,,,,,,,,,
190716FKEE1,Stimulus,nw,1,421,541,1381,,,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,ss,61,781,841,1141,1321,1381,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,fw,181,241,481,601,901,961,1021,1081,1201,1261,,,,,,,,,,,,,,
190716FKEE3,Stimulus,bp,121,301,361,661,,,,,,,,,,,,,,,,,,,,
190716FKEE3,Stimulus,nw,1,421,541,721,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,ss,61,181,481,841,1321,1381,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,fw,241,301,361,421,601,661,901,1021,1081,1261,,,,,,,,,,,,,,
190717JSCH1,Stimulus,bp,1,121,961,1201,,,,,,,,,,,,,,,,,,,,
190717JSCH1,Stimulus,nw,541,721,781,1141,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,ss,1,301,481,541,721,1261,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,fw,61,121,361,601,661,901,1021,1081,1321,1381,,,,,,,,,,,,,,
190717JSCH3,Stimulus,bp,781,841,961,1141,,,,,,,,,,,,,,,,,,,,
190717JSCH3,Stimulus,nw,181,241,421,1201,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,ss,61,121,601,901,1081,1261,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,fw,421,481,541,721,781,841,961,1021,1141,1381,,,,,,,,,,,,,,
190725LGEN1,Stimulus,bp,241,361,1201,1321,,,,,,,,,,,,,,,,,,,,
190725LGEN1,Stimulus,nw,1,181,301,661,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,ss,1,121,301,961,1081,1201,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,fw,181,241,421,481,661,721,1021,1261,1321,1381,,,,,,,,,,,,,,
190725LGEN3,Stimulus,bp,601,781,841,1141,,,,,,,,,,,,,,,,,,,,
190725LGEN3,Stimulus,nw,61,361,541,901,,,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,ss,1,301,541,721,1081,1321,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,fw,181,241,421,481,601,781,841,1021,1201,1261,,,,,,,,,,,,,,
190904GHER1,Stimulus,bp,661,901,961,1381,,,,,,,,,,,,,,,,,,,,
190904GHER1,Stimulus,nw,61,121,361,1141,,,,,,,,,,,,,,,,,,,,
190904GHER3,Stimulus,ss,121,181,481,601,901,1321,,,,,,,,,,,,,,,,,,
190904GHER3,Stimulus,fw,361,541,721,781,961,1021,1081,1201,1261,1381,,,,,,,,,,,,,,
190904GHER3,Stimulus,bp,1,241,421,1141,,,,,,,,,,,,,,,,,,,,
