Subject,PPID,Session,TrialNumber,Stim,Liking,Familiarity,Onset
FKEE,190716FKEE1,pre,1,nw,Neutral,Unfamiliar,1
FKEE,190716FKEE1,pre,2,bp,Neutral,VeryUnfamiliar,61
FKEE,190716FKEE1,pre,3,fw,Neutral,Unfamiliar,121
FKEE,190716FKEE1,pre,4,ss,Love,VeryFamiliar,181
FKEE,190716FKEE1,pre,5,fw,Like,Unfamiliar,241
FKEE,190716FKEE1,pre,6,fw,Neutral,Unfamiliar,301
FKEE,190716FKEE1,pre,7,fw,Neutral,Familiar,361
FKEE,190716FKEE1,pre,8,nw,Hate,VeryUnfamiliar,421
FKEE,190716FKEE1,pre,9,fw,Love,VeryFamiliar,481
FKEE,190716FKEE1,pre,10,nw,Neutral,Unfamiliar,541
FKEE,190716FKEE1,pre,11,ss,Love,VeryFamiliar,601
FKEE,190716FKEE1,pre,12,ss,Like,VeryFamiliar,661
FKEE,190716FKEE1,pre,13,ss,Love,VeryFamiliar,721
FKEE,190716FKEE1,pre,14,fw,Like,VeryFamiliar,781
FKEE,190716FKEE1,pre,15,ss,Like,VeryFamiliar,841
FKEE,190716FKEE1,pre,16,fw,Neutral,VeryUnfamiliar,901
FKEE,190716FKEE1,pre,17,ss,Love,VeryFamiliar,961
FKEE,190716FKEE1,pre,18,fw,Like,Unfamiliar,1021
FKEE,190716FKEE1,pre,19,bp,Neutral,VeryUnfamiliar,1081
FKEE,190716FKEE1,pre,20,bp,Hate,VeryUnfamiliar,1141
FKEE,190716FKEE1,pre,21,bp,Neutral,VeryUnfamiliar,1201
FKEE,190716FKEE1,pre,22,fw,Like,Unfamiliar,1261
FKEE,190716FKEE1,pre,23,fw,Hate,VeryUnfamiliar,1321
FKEE,190716FKEE1,pre,24,nw,Neutral,Unfamiliar,1381
FKEE,190716FKEE3,post,1,nw,Hate,NA,1
FKEE,190716FKEE3,post,2,ss,Love,NA,61
FKEE,190716FKEE3,post,3,bp,Hate,NA,121
FKEE,190716FKEE3,post,4,fw,Hate,NA,181
FKEE,190716FKEE3,post,5,fw,Hate,NA,241
FKEE,190716FKEE3,post,6,bp,Hate,NA,301
FKEE,190716FKEE3,post,7,bp,Hate,NA,361
FKEE,190716FKEE3,post,8,nw,NA,NA,421
FKEE,190716FKEE3,post,9,fw,Hate,NA,481
FKEE,190716FKEE3,post,10,nw,Hate,NA,541
FKEE,190716FKEE3,post,11,fw,Hate,NA,601
FKEE,190716FKEE3,post,12,bp,Hate,NA,661
FKEE,190716FKEE3,post,13,nw,Hate,NA,721
FKEE,190716FKEE3,post,14,ss,Love,NA,781
FKEE,190716FKEE3,post,15,ss,Hate,NA,841
FKEE,190716FKEE3,post,16,fw,Hate,NA,901
FKEE,190716FKEE3,post,17,fw,Like,NA,961
FKEE,190716FKEE3,post,18,fw,Hate,NA,1021
FKEE,190716FKEE3,post,19,fw,Love,NA,1081
FKEE,190716FKEE3,post,20,ss,Love,NA,1141
FKEE,190716FKEE3,post,21,fw,Hate,NA,1201
FKEE,190716FKEE3,post,22,fw,Hate,NA,1261
FKEE,190716FKEE3,post,23,ss,Love,NA,1321
FKEE,190716FKEE3,post,24,ss,Love,NA,1381
JSCH,190717JSCH1,pre,1,bp,Hate,VeryUnfamiliar,1
JSCH,190717JSCH1,pre,2,ss,Hate,VeryUnfamiliar,61
JSCH,190717JSCH1,pre,3,bp,Hate,VeryUnfamiliar,121
JSCH,190717JSCH1,pre,4,ss,Love,VeryFamiliar,181
JSCH,190717JSCH1,pre,5,fw,Neutral,VeryUnfamiliar,241
JSCH,190717JSCH1,pre,6,fw,Neutral,VeryUnfamiliar,301
JSCH,190717JSCH1,pre,7,fw,Neutral,VeryUnfamiliar,361
JSCH,190717JSCH1,pre,8,fw,Neutral,VeryUnfamiliar,421
JSCH,190717JSCH1,pre,9,ss,Hate,VeryUnfamiliar,481
JSCH,190717JSCH1,pre,10,nw,Hate,VeryUnfamiliar,541
JSCH,190717JSCH1,pre,11,fw,Neutral,VeryUnfamiliar,601
JSCH,190717JSCH1,pre,12,fw,Neutral,VeryUnfamiliar,661
JSCH,190717JSCH1,pre,13,nw,Hate,VeryUnfamiliar,721
JSCH,190717JSCH1,pre,14,nw,Hate,VeryUnfamiliar,781
JSCH,190717JSCH1,pre,15,ss,Like,VeryFamiliar,841
JSCH,190717JSCH1,pre,16,fw,Neutral,Unfamiliar,901
JSCH,190717JSCH1,pre,17,bp,Hate,VeryUnfamiliar,961
JSCH,190717JSCH1,pre,18,fw,Neutral,VeryUnfamiliar,1021
JSCH,190717JSCH1,pre,19,fw,Love,VeryFamiliar,1081
JSCH,190717JSCH1,pre,20,nw,Hate,VeryUnfamiliar,1141
JSCH,190717JSCH1,pre,21,bp,Hate,VeryUnfamiliar,1201
JSCH,190717JSCH1,pre,22,fw,Like,Unfamiliar,1261
JSCH,190717JSCH1,pre,23,ss,Neutral,VeryUnfamiliar,1321
JSCH,190717JSCH1,pre,24,ss,Love,VeryFamiliar,1381
JSCH,190717JSCH3,post,1,ss,Love,VeryFamiliar,1
JSCH,190717JSCH3,post,2,fw,Like,Familiar,61
JSCH,190717JSCH3,post,3,fw,Like,Unfamiliar,121
JSCH,190717JSCH3,post,4,nw,Hate,VeryUnfamiliar,181
JSCH,190717JSCH3,post,5,nw,Hate,VeryUnfamiliar,241
JSCH,190717JSCH3,post,6,ss,Love,VeryFamiliar,301
JSCH,190717JSCH3,post,7,fw,Love,VeryFamiliar,361
JSCH,190717JSCH3,post,8,nw,Hate,VeryUnfamiliar,421
JSCH,190717JSCH3,post,9,ss,Love,VeryFamiliar,481
JSCH,190717JSCH3,post,10,ss,Love,VeryFamiliar,541
JSCH,190717JSCH3,post,11,fw,Neutral,VeryUnfamiliar,601
JSCH,190717JSCH3,post,12,fw,Neutral,VeryUnfamiliar,661
JSCH,190717JSCH3,post,13,ss,Love,VeryFamiliar,721
JSCH,190717JSCH3,post,14,bp,Hate,VeryUnfamiliar,781
JSCH,190717JSCH3,post,15,bp,Hate,VeryUnfamiliar,841
JSCH,190717JSCH3,post,16,fw,Neutral,VeryUnfamiliar,901
JSCH,190717JSCH3,post,17,bp,Hate,VeryUnfamiliar,961
JSCH,190717JSCH3,post,18,fw,Like,VeryUnfamiliar,1021
JSCH,190717JSCH3,post,19,fw,Neutral,VeryUnfamiliar,1081
JSCH,190717JSCH3,post,20,bp,Hate,VeryUnfamiliar,1141
JSCH,190717JSCH3,post,21,nw,Hate,VeryUnfamiliar,1201
JSCH,190717JSCH3,post,22,ss,Love,VeryFamiliar,1261
JSCH,190717JSCH3,post,23,fw,Neutral,VeryUnfamiliar,1321
JSCH,190717JSCH3,post,24,fw,Hate,VeryUnfamiliar,1381
LGEN,190725LGEN1,pre,1,nw,Love,Unfamiliar,1
LGEN,190725LGEN1,pre,2,ss,Love,VeryFamiliar,61
LGEN,190725LGEN1,pre,3,ss,Love,VeryFamiliar,121
LGEN,190725LGEN1,pre,4,nw,Neutral,VeryUnfamiliar,181
LGEN,190725LGEN1,pre,5,bp,Like,VeryUnfamiliar,241
LGEN,190725LGEN1,pre,6,nw,Like,Unfamiliar,301
LGEN,190725LGEN1,pre,7,bp,Like,VeryUnfamiliar,361
LGEN,190725LGEN1,pre,8,fw,Love,Familiar,421
LGEN,190725LGEN1,pre,9,fw,Like,Unfamiliar,481
