SUBID,roi_order
FKEE,1
JSCH,2
LGEN,3
GHER,4
LDIR,5
JPRE,6
CWEI,7
MBLO,8
EROS,9
TCIE,10
GCAS,11
DFAI,12
JKAY,13
DCAT,14
SCAE,15
EHER,16
LJAC,17
ASHA,18
JSCH — REPEAT,19
LGEN - REPEAT,20
GHER - REPEAT,21
LDIR - REPEAT ,22
JPRE - REPEAT,23
CWEI - REPEAT,24
MBLO - REPEAT,25
EROS - REPEAT,26
TCIE - REPEAT,27
GCAS - REPEAT,28
DFAI - REPEAT,29
JKAY - REPEAT,30
DCAT - REPEAT,31
SCAE - REPEAT,32
EHER - REPEAT,33
LJAC - REPEAT,34
ASHA - REPEAT,35
GSHA,36
ELAR,37
BFOR,38
AZHA,39
SLEE,40
LGAR,41
CZAL,42
APOP,43
LWIE,44
GWAI,45
SCAM,46
KCHU,47
KPLU,48
KWAL,49
ZCAR,50
JLAW,51
ASUR,52
IZIK,53
SAPE,54
TBOY,55
MCHI,56
JCLA,57
SSOH,58
AWIL,59
STHO,60
MBIC,61
CKOB,62
CNOR,63
ALIU,64
OKHE,65
OEGB,66
EMCG,67
YDIA,68
MCHO,69
ETIN,70
SSHA,71
